year	division	category	winner	award
2015	Arts & Entertainment	Children's Choral Group	One Voice Children's Choir	medal
2015	Arts & Entertainment	Children's Performing Group	Caleb Chapman's Little Big Band	medal
2015	Arts & Entertainment	Children's Theater	Utah Children's Theatre	medal
2015	Arts & Entertainment	Choral Group	Salt Lake Choral Artists	medal
2015	Arts & Entertainment	Choreographer	Lindsay Folkman	medal
2015	Arts & Entertainment	Community Arts	Sandy Arts Guild	medal
2015	Arts & Entertainment	Community Music Program	Utah Conservatory of Performing Arts	medal
2015	Arts & Entertainment	Community Orchestra	Utah Youth Philharmonic	medal
2015	Arts & Entertainment	Community Theater	Utah Children's Theatre	medal
2015	Arts & Entertainment	Dance Group	Odyssey Dance Theatre	medal
2015	Arts & Entertainment	Digital Art	Rachel Ann Wadsworth	medal
2015	Arts & Entertainment	Documentary	The Path to Heaven	medal
2015	Arts & Entertainment	Drawing/Illustration	Maverik	medal
2015	Arts & Entertainment	Fiction	H.B. Moore, Eve: In the Beginning	medal
2015	Arts & Entertainment	Handicrafts	Brian K Baity	medal
2015	Arts & Entertainment	Individual Dancer	Rylee Ann Rogers	medal
2015	Arts & Entertainment	Individual Vocalist	Melody Pulsipher	medal
2015	Arts & Entertainment	Instructional/Corporate Video	Issimo Productions	medal
2015	Arts & Entertainment	Instrumental Group	Caleb Chapman's Crescent Super Band	medal
2015	Arts & Entertainment	Journalism	Chris Redgrave, Speaking on Business	medal
2015	Arts & Entertainment	Magazine	Zions Bank Community Magazine	medal
2015	Arts & Entertainment	Non-fiction	Lu Ann Staheli	medal
2015	Arts & Entertainment	Orchestra	American Heritage Lyceum Philharmonic	medal
2015	Arts & Entertainment	Original Band	The Str!ke	medal
2015	Arts & Entertainment	Party/Cover Band	Groove Merchants	medal
2015	Arts & Entertainment	Playwriting	Joanne M. Parker	medal
2015	Arts & Entertainment	Portrait Photography	Busath Studio & Gardens	medal
2015	Arts & Entertainment	Professional Theater	Hale Centre Theatre	medal
2015	Arts & Entertainment	Publication	Mountain Express Magazine	medal
2015	Arts & Entertainment	Sculpture	Scott Streadbeck	medal
2015	Arts & Entertainment	Short Movie	Issimo Productions	medal
2015	Arts & Entertainment	Short Story	Annette Lyon	medal
2015	Arts & Entertainment	Specialty Act	Pirate & Princess Parties	medal
2015	Arts & Entertainment	Talent Representation	Utah Live Bands	medal
2015	Arts & Entertainment	Textile Arts	Thimbles and Threads	medal
2015	Arts & Entertainment	Theater Group/Director	Hale Centre Theatre	medal
2015	Arts & Entertainment	Videography	Lori Wait	medal
2015	Arts & Entertainment	Vocal/Instrumental Band	Caleb Chapman's Crescent Super Band	medal
2015	Arts & Entertainment	Wedding Photography	Pepper Nix Photography	medal
2015	Arts & Entertainment	Youth Instrumental Group	Caleb Chapman's Little Big Band	medal
2015	Arts & Entertainment	Youth Small Ensemble	Vivaldi Quartet	medal
2015	Business Services	Accounting	Tanner LLC	medal
2015	Business Services	Advertising Agencies	ThomasARTS	medal
2015	Business Services	Alternative Health Care	Caregiver Support Network	medal
2015	Business Services	Architects	FFKR Architects	medal
2015	Business Services	Banking	Zions Bank	medal
2015	Business Services	Commercial Building Subcontractor	Mountain Crane Service	medal
2015	Business Services	Construction – Commercial	Jacobsen Construction Company, Inc.	medal
2015	Business Services	Construction – Heavy	Wadsworth Brothers Construction	medal
2015	Business Services	Corporate Wellness	Zions Bank	medal
2015	Business Services	Customer Servicing/Call Centers	Visa, Inc.	medal
2015	Business Services	Data Services	Cicero Group	medal
2015	Business Services	Employment/Talent Agencies	Prince, Perelson & Associates	medal
2015	Business Services	Environmental Impact	Rocky Mountain Recycling	medal
2015	Business Services	Farm Equipment & Supplies	Black Dirt Organics LLC	medal
2015	Business Services	Financial Services	Discover Financial Services	medal
2015	Business Services	Flood/Disaster Services	Anchor Water Damage & Restoration	medal
2015	Business Services	Food Services & Distributors	Nicholas & Company	medal
2015	Business Services	Freight/Logistics	England Logistics	medal
2015	Business Services	Graphic Design	RiSER	medal
2015	Business Services	Health Care Facilities	Ogden Clinic	medal
2015	Business Services	In-house Health Clinic	Merit Medical Systems, Inc.	medal
2015	Business Services	Insurance	EMI Health	medal
2015	Business Services	Investment Advisory Services	Paragon Wealth Management	medal
2015	Business Services	Language Services	Internexus	medal
2015	Business Services	Legal Services	Prince Yeates and Geldzahler	medal
2015	Business Services	Maintenance	Dixon Security Cameras	medal
2015	Business Services	Miscellaneous Services	Fishbowl	medal
2015	Business Services	Mortgage Banking	Security National Mortgage Company	medal
2015	Business Services	Mortgage Broker	Academy Mortgage Corporation	medal
2015	Business Services	Nursing	Promise Hospital of Salt Lake	medal
2015	Business Services	Payroll/Benefits	Payroll Experts, Inc	medal
2015	Business Services	Pharmacies	Depot Drug	medal
2015	Business Services	Physical Therapy	Registered Physical Therapists, Inc	medal
2015	Business Services	Product Distribution	ForeverGreen International, LLC	medal
2015	Business Services	Property Management	Real Property Management	medal
2015	Business Services	Public Relations	Intrepid	medal
2015	Business Services	Real Estate Development	Wadsworth Development Group	medal
2015	Business Services	Real Estate/Appraisal	Coldwell Banker Residential Brokerage	medal
2015	Business Services	Recording Studio	Soularium Recording Studios	medal
2015	Business Services	Retirement Planning	Cambridge Financial Center	medal
2015	Business Services	Storage	Safe Haven Private Vaults	medal
2015	Community Development	Animal Services	Salt Lake County Animal Services	medal
2015	Community Development	Appointed Official	Wayne T. Pyle	medal
2015	Community Development	Associations/Chambers	Historic 25th Street Association	medal
2015	Community Development	Charitable/Service Organization	Odyssey House	medal
2015	Community Development	City Planning	Brian O. Berndt	medal
2015	Community Development	Community Communications	SALT	medal
2015	Community Development	Corporate Giving	Zions Bank	medal
2015	Community Development	Economic Development	Lagoon	medal
2015	Community Development	Education/Advocacy Organization	Apex Behavior Consulting	medal
2015	Community Development	Elected Official	Utah Attorney General Sean D. Reyes	medal
2015	Community Development	Employer	Zions Bank	medal
2015	Community Development	Entrepreneur	Rudy Larsen	medal
2015	Community Development	Government Relations	Foxley & Pignanelli	medal
2015	Community Development	Humanitarian Organization	Operation Underground Railroad	medal
2015	Community Development	Individual Humanitarian	Rose Ann Gunther	medal
2015	Community Development	Individual Volunteer	David F. Pack, Ph.D.	medal
2015	Community Development	International Business	International Armoring Corporation	medal
2015	Community Development	Large Business	Wheeler Machinery Co.	medal
2015	Community Development	Library	Springville Public Library	medal
2015	Community Development	Project Development	Wadsworth Development Group	medal
2015	Community Development	Public Safety	Utah Attorney General Investigations Division	medal
2015	Community Development	Public Safety Officer	Ray Flores	medal
2015	Community Development	Small Business (under $5M/year)	Western Timber Frame	medal
2015	Community Development	State Agency/Office	The Utah Attorney General's Office: Sean D. Reyes	medal
2015	Community Development	Web-based Community Resource	Utah Attorney General's ID Theft Central	medal
2015	Community Development	Web-based Community Resource	Utah.Gov	medal
2015	Dining Establishments	American	Sizzler	medal
2015	Dining Establishments	American	Smokehouse BBQ and Burgers	medal
2015	Dining Establishments	American Contemporary	Communal	medal
2015	Dining Establishments	American Continental	Harvest Restaurant	medal
2015	Dining Establishments	American Pub	Drafts Sports Bar & Grill	medal
2015	Dining Establishments	American Traditional	Ruth's Chris Park City	medal
2015	Dining Establishments	American Traditional	The Ridge Cafe and Market	medal
2015	Dining Establishments	Asian/Pacific	Rumbi Island Grill	medal
2015	Dining Establishments	Asian/Pacific	Teriyaki Grill	medal
2015	Dining Establishments	Authentic Mexican	El Azteca	medal
2015	Dining Establishments	Baked Goods	Kneaders Bakery & Cafe	medal
2015	Dining Establishments	Baked Goods	Nothing Bundt Cakes	medal
2015	Dining Establishments	Bakery	Kneaders Bakery & Cafe	medal
2015	Dining Establishments	Bakery Breakfast	Kneaders Bakery & Cafe	medal
2015	Dining Establishments	Bakery Sandwiches	Kneaders Bakery & Cafe	medal
2015	Dining Establishments	Bakery Sandwiches	Village Baker	medal
2015	Dining Establishments	Barbecue	Huntsville Barbecue Company	medal
2015	Dining Establishments	Brats and Hot Dogs	Farr's Est. 1920 - Dexter's Dogs	medal
2015	Dining Establishments	Breakfast	Dunkin Donuts	medal
2015	Dining Establishments	Breakfast	Penny Ann's Cafe	medal
2015	Dining Establishments	Brunch	Two-Bit Street Cafe'	medal
2015	Dining Establishments	Buffet Brunch	Grand America Sunday Brunch	medal
2015	Dining Establishments	Buffets	The Glitretind at Stein Eriksen Lodge	medal
2015	Dining Establishments	Café	BAKE 360	medal
2015	Dining Establishments	Cakes	Cakes de Fleur	medal
2015	Dining Establishments	Chef	Eric May, Executive Chef of the Blue Boar Inn	medal
2015	Dining Establishments	Chicken	Wing Nutz	medal
2015	Dining Establishments	Chinese	HuHot Mongolian Grill	medal
2015	Dining Establishments	Chinese	J Wong's Asian Bistro	medal
2015	Dining Establishments	Classic Pizza	Little Caesars	medal
2015	Dining Establishments	Convenience Foods	Maverik, Inc.	medal
2015	Dining Establishments	Cookies	Over The Top Gourmet Cookies	medal
2015	Dining Establishments	Deli Sandwiches	9th South Delicatessen	medal
2015	Dining Establishments	Diner	Black Bear Diner	medal
2015	Dining Establishments	Diner	Brick House Cafe	medal
2015	Dining Establishments	Eclectic Fusion	Franck's	medal
2015	Dining Establishments	European	The Blue Boar Inn & Restaurant	medal
2015	Dining Establishments	European/Middle Eastern	Taste of India	medal
2015	Dining Establishments	Family Pizza	Summit Inn Pizza & Ice Cream	medal
2015	Dining Establishments	Fast Food	Home of the Train/Dairy Keen	medal
2015	Dining Establishments	Franchise Burgers	Carl's Jr.	medal
2015	Dining Establishments	Franchise Burgers	Red Robin Gourmet Burgers	medal
2015	Dining Establishments	Franchise Sandwiches	Firehouse Subs	medal
2015	Dining Establishments	French Classical	The Chef's Table	medal
2015	Dining Establishments	French Contemporary	Franck's	medal
2015	Dining Establishments	Frozen Desserts	Farr's Fresh Cafes	medal
2015	Dining Establishments	Frozen Yogurt	Menchie's - St George	medal
2015	Dining Establishments	Gourmet Burgers	Drafts Sports Bar & Grill	medal
2015	Dining Establishments	Gourmet Pizza	Vinto Pizzeria	medal
2015	Dining Establishments	Ice Cream	Leatherby's Family Creamery	medal
2015	Dining Establishments	Ice Cream	Nielsen's Frozen Custard-Holladay	medal
2015	Dining Establishments	Indian	India Palace	medal
2015	Dining Establishments	Indian	Karma Indian Cuisine	medal
2015	Dining Establishments	Italian	Tuscany Restaurant	medal
2015	Dining Establishments	Italian	Vinto	medal
2015	Dining Establishments	Japanese	Tona Sushi Bar and Grill	medal
2015	Dining Establishments	Juices	Mend Juicery	medal
2015	Dining Establishments	Latin American	Cafe Rio Mexican Grill	medal
2015	Dining Establishments	Latin American	Costa Vida	medal
2015	Dining Establishments	Local Burgers	Bona Vita Italian Bistro	medal
2015	Dining Establishments	Local Burgers	Hi-Mountain	medal
2015	Dining Establishments	Local Pizza	From Scratch	medal
2015	Dining Establishments	Local Sandwiches	Moochie's Meatballs and More	medal
2015	Dining Establishments	Lunch Special	Thai Siam Restaurants	medal
2015	Dining Establishments	Mediterranean/Middle Eastern	Layla Grill	medal
2015	Dining Establishments	Mexican	Cafe Rio Mexican Grill	medal
2015	Dining Establishments	Mexican	Costa Vida	medal
2015	Dining Establishments	New American	La Jolla Groves	medal
2015	Dining Establishments	New American	The Glitretind at Stein Eriksen Lodge	medal
2015	Dining Establishments	Pasta	Bona Vita Italian Bistro	medal
2015	Dining Establishments	Pastries	BAKE 360	medal
2015	Dining Establishments	Pastries	Bäckerei & Eis	medal
2015	Dining Establishments	Pastries	La Bonne Vie	medal
2015	Dining Establishments	Pizza - Custom Gourmet	Malawi's Pizza	medal
2015	Dining Establishments	Pizza - N.Y. Style	Cafe Galleria	medal
2015	Dining Establishments	Pizza - Traditional Style	Brick Oven	medal
2015	Dining Establishments	Plated Brunch	Blue Boar Inn & Restaurant	medal
2015	Dining Establishments	Private Club	Park Meadows Country Club	medal
2015	Dining Establishments	Salad Bar	Jason's deli	medal
2015	Dining Establishments	Salads	Bona Vita Italian Bistro	medal
2015	Dining Establishments	Sandwiches	Café Zupas	medal
2015	Dining Establishments	Shakes	Home of the Train/Dairy Keen	medal
2015	Dining Establishments	Smoothies	The Orange Peel, Inc.	medal
2015	Dining Establishments	Sorbet/Gelato	Vinto	medal
2015	Dining Establishments	Soup	Café Zupas	medal
2015	Dining Establishments	Soup	Home of the Train/Dairy Keen	medal
2015	Dining Establishments	Spanish	Café Madrid	medal
2015	Dining Establishments	Specialty Beverages	caffe d'bolla	medal
2015	Dining Establishments	Steaks	Edge Steakhouse	medal
2015	Dining Establishments	Steaks	Ruby River Steakhouse	medal
2015	Dining Establishments	Sushi	Tona Sushi Bar and Grill	medal
2015	Dining Establishments	Texas Barbecue	Bam Bam's BBQ	medal
2015	Dining Establishments	Texas Barbecue	Sonny Boys Barbecue	medal
2015	Dining Establishments	Thai	Aroy-D Thai Cuisine	medal
2015	Dining Establishments	Traditional Italian	Fratelli Ristorante	medal
2015	Dining Establishments	Tuscan	Tuscany	medal
2015	Dining Establishments	Vietnamese	Bangkok Garden Restaurant	medal
2015	Dining Establishments	Western Barbecue	Holy Smoke BBQ & Grill	medal
2015	Dining Establishments	Wine List & Presentation	Stein Eriksen Lodge	medal
2015	Education	Adjunct Professor	David F. Pack, Ph.D.	medal
2015	Education	Administrator	Sam Payne	medal
2015	Education	Adult Education	English Language Center of Cache Valley	medal
2015	Education	Alternative Education	Denda Academy	medal
2015	Education	Arts in Education	Hale Centre Theatre	medal
2015	Education	Charter School	Salt Lake School For The Performing Arts	medal
2015	Education	College/University Student	David L. Valverde	medal
2015	Education	College/University Teacher	Kevin Rhoads	medal
2015	Education	Continuing Education	National Institute of Medical Aesthetics	medal
2015	Education	Curriculum Development	College of Behavioral Sciences at Argosy, SLC	medal
2015	Education	Early Childhood Educator	Shantel Pilcher	medal
2015	Education	Educational Institution or Service	LDS Business College's Student Development Center	medal
2015	Education	K-12 Online Education	Mountain Heights Academy	medal
2015	Education	Management/Employee Training	Allen Communication	medal
2015	Education	Music Education	Mindy F. Pack	medal
2015	Education	On-line Education	Western Governors University	medal
2015	Education	Private Preschool	Kids Village	medal
2015	Education	Private School K-12	Wasatch Academy	medal
2015	Education	Public Preschool Program	Salt Lake CAP Head Start	medal
2015	Education	Public School K-12	Lehi Elementary	medal
2015	Education	Special Education	Kids on the Move	medal
2015	Education	Special Interest Education	Conservation Garden Park	medal
2015	Education	Student K-12	Natalie D. Tonks	medal
2015	Education	Support Personnel	Provo City School District Child Nutrition Program	medal
2015	Education	Teacher K-12	Gene Bechthold	medal
2015	Education	Vocational Training – Private	LDS Business College	medal
2015	Education	Vocational Training – Public	Ogden-Weber Applied Technology College	medal
2015	Education	Volunteer Service	LDSBC Service Missionaries & Community Volunteers	medal
2015	Hospitality, Travel & Tourism	Adventure Travel	Western River Expeditions / Moab Adventure Center	medal
2015	Hospitality, Travel & Tourism	Attractions	Lagoon	medal
2015	Hospitality, Travel & Tourism	Bed & Breakfast	Blue Boar Inn & Restaurant	medal
2015	Hospitality, Travel & Tourism	Bridal/Wedding Services	FUSE Weddings & Events	medal
2015	Hospitality, Travel & Tourism	Caterers	Culinary Crafts	medal
2015	Hospitality, Travel & Tourism	Convention and Meeting Facilities	The Grand America Hotel	medal
2015	Hospitality, Travel & Tourism	Convention and Meeting Services	Webb Audio Visual	medal
2015	Hospitality, Travel & Tourism	Day Spas	The Grand Spa	medal
2015	Hospitality, Travel & Tourism	Destination Management	RMC - Resorts, Mountains, Cities	medal
2015	Hospitality, Travel & Tourism	Destination Spas	Serenity Spa by Westgate	medal
2015	Hospitality, Travel & Tourism	Entertainment Venue	Mystery Escape Room	medal
2015	Hospitality, Travel & Tourism	Event Cakes & Confections	Carrie's Cakes	medal
2015	Hospitality, Travel & Tourism	Event Entertainment	Utah Live Bands	medal
2015	Hospitality, Travel & Tourism	Event Planner	Michelle Leo Events	medal
2015	Hospitality, Travel & Tourism	Event/Performance Venue	Thanksgiving Point	medal
2015	Hospitality, Travel & Tourism	Fairs, Festivals and Events	Thanksgiving Point Tulip Festival	medal
2015	Hospitality, Travel & Tourism	Fishing/River Outfitters	Western River Expeditions / Moab Adventure Center	medal
2015	Hospitality, Travel & Tourism	Golf Courses	Red Ledges	medal
2015	Hospitality, Travel & Tourism	Hospitality Services	Temple Square Hospitality Corporation	medal
2015	Hospitality, Travel & Tourism	Hotels	Stein Eriksen Lodge Deer Valley	medal
2015	Hospitality, Travel & Tourism	Inns	Blue Boar Inn & Restaurant	medal
2015	Hospitality, Travel & Tourism	Motels	Cliffrose Lodge & Gardens	medal
2015	Hospitality, Travel & Tourism	Museums	Springville Museum of Art	medal
2015	Hospitality, Travel & Tourism	Ski Resorts	Westgate Park City Resort & Spa	medal
2015	Hospitality, Travel & Tourism	Take-out/Informal Catering	Cafe Rio Mexican Grill	medal
2015	Hospitality, Travel & Tourism	Transportation Services	Park'n JET	medal
2015	Hospitality, Travel & Tourism	Travel Agencies	Get Away Today	medal
2015	Hospitality, Travel & Tourism	Vacation Resorts	Newpark Resort & Hotel	medal
2015	Merchandising & Consumer Services	Animal Clinic	Animal Care Center	medal
2015	Merchandising & Consumer Services	Animal Hospital	University Veterinary Hospital & Diagnostic Center	medal
2015	Merchandising & Consumer Services	Animal Training	Ty the Dog Guy	medal
2015	Merchandising & Consumer Services	Apparel	Cariloha	medal
2015	Merchandising & Consumer Services	Art Gallery/Broker	The Frame Works, Inc.	medal
2015	Merchandising & Consumer Services	Assisted Living Facilities	Courtyard at Jamestown	medal
2015	Merchandising & Consumer Services	Auditory Services	Timpanogos Hearing & Balance	medal
2015	Merchandising & Consumer Services	Auto Dealers, new	Larry H. Miller Dealerships	medal
2015	Merchandising & Consumer Services	Auto Dealers, used	Kentson Car Company	medal
2015	Merchandising & Consumer Services	Automotive Services	LUXE Auto Spa	medal
2015	Merchandising & Consumer Services	Clothier	MissionaryMall	medal
2015	Merchandising & Consumer Services	Construction – Residential	Destination Homes	medal
2015	Merchandising & Consumer Services	Consumer Electronics	Simply Mac	medal
2015	Merchandising & Consumer Services	Cosmetic/Medical Spa	Skin Spa Acne Clinic and Aesthetics	medal
2015	Merchandising & Consumer Services	Credit Unions	Goldenwest Credit Union	medal
2015	Merchandising & Consumer Services	Dental Services	Park City Dental Spa - James G Abraham, DDS	medal
2015	Merchandising & Consumer Services	Dietary Supplements	USANA Health Sciences	medal
2015	Merchandising & Consumer Services	Essential Oils/Botanicals	doTERRA INTERNATIONAL, LLC	medal
2015	Merchandising & Consumer Services	Eye Care	Hoopes Vision	medal
2015	Merchandising & Consumer Services	Floral Design	Olive and Cocoa	medal
2015	Merchandising & Consumer Services	Funeral Services	Larkin Mortuary	medal
2015	Merchandising & Consumer Services	Furniture	Lisman Studio	medal
2015	Merchandising & Consumer Services	General Merchandising	Overstock.com	medal
2015	Merchandising & Consumer Services	Gifts/Household Goods	Minky Couture	medal
2015	Merchandising & Consumer Services	Hair/Beauty Salons	Landis Lifestyle Salons	medal
2015	Merchandising & Consumer Services	Health Care Services	South Davis Community Hospital	medal
2015	Merchandising & Consumer Services	Health/Nutrition Beverage	USANA Health Sciences	medal
2015	Merchandising & Consumer Services	Health/Nutrition Products	USANA Health Sciences	medal
2015	Merchandising & Consumer Services	Heating & Plumbing	Manwill Plumbing and Heating	medal
2015	Merchandising & Consumer Services	Home & Appliance Services	Landmark Home Warranty	medal
2015	Merchandising & Consumer Services	Home Décor	Tai-Pan Trading International	medal
2015	Merchandising & Consumer Services	Hospice/Home health Care	Community Nursing Services Home Care & Hospice	medal
2015	Merchandising & Consumer Services	Independent Senior Living	Atria Sandy	medal
2015	Merchandising & Consumer Services	Interior Design	Heather Osmond	medal
2015	Merchandising & Consumer Services	Jewelry	Brian K Baity	medal
2015	Merchandising & Consumer Services	Landscape Services & Supplies	Tuck Landscape	medal
2015	Merchandising & Consumer Services	Medical Equipment/Supplies	Alpine Home Medical Equipment	medal
2015	Merchandising & Consumer Services	Medical Services	CareSource Home Health & Hospice, LLC	medal
2015	Merchandising & Consumer Services	Mental Health Services	Odyssey House	medal
2015	Merchandising & Consumer Services	Miscellaneous Merchandising/Services	Eschler Editing	medal
2015	Merchandising & Consumer Services	Optical Care	SouthWest Vision	medal
2015	Merchandising & Consumer Services	Personal Care Products/Cosmetics	USANA Health Sciences	medal
2015	Merchandising & Consumer Services	Pools & Spas	Bullfrog Spas	medal
2015	Merchandising & Consumer Services	Preparedness Foods & Supplies	Nitro-Pak Preparedness Center, Inc	medal
2015	Merchandising & Consumer Services	Remodeling/Home Improvement	Jackson & LeRoy	medal
2015	Merchandising & Consumer Services	Repair & Restoration Services	BELFOR Property Restoration	medal
2015	Merchandising & Consumer Services	Residential Building Subcontractor	Walker Home Design	medal
2015	Merchandising & Consumer Services	Residential Maintenance & Repair	Any Hour Services	medal
2015	Merchandising & Consumer Services	Skilled Nursing Facilities	Mission Health Services	medal
2015	Merchandising & Consumer Services	Youth Treatment Center	Odyssey House Youth Treatment Programs	medal
2015	Production & Manufacturing	Appliances	Blendtec	medal
2015	Production & Manufacturing	Beverage	Apple Beer Corporation	medal
2015	Production & Manufacturing	Brewery/Winery	The Hive Winery, Inc.	medal
2015	Production & Manufacturing	Candy/Confectionary	V Chocolates	medal
2015	Production & Manufacturing	Components/Fabricating	Critical Laser	medal
2015	Production & Manufacturing	Consumer Electronics	PC Laptops	medal
2015	Production & Manufacturing	Dairy Products	Heber Valley Artisan Cheese	medal
2015	Production & Manufacturing	Electrical/Power Products	Tycon Systems Inc.	medal
2015	Production & Manufacturing	Electro/Mechanical	Intermountain Electronics, Inc.	medal
2015	Production & Manufacturing	Fabrication	Petersen Incorporated	medal
2015	Production & Manufacturing	Food Manufacturing/Processing	Amano Artisan Chocolate	medal
2015	Production & Manufacturing	Furniture/Fixtures	Millcreek Furniture	medal
2015	Production & Manufacturing	Greenhouse/Nursery	BioGrass Sod Farms	medal
2015	Production & Manufacturing	Hardware	Little Giant Ladder Systems	medal
2015	Production & Manufacturing	Large Format Printing	Ferrari Color	medal
2015	Production & Manufacturing	Livestock	Circle Four Farms	medal
2015	Production & Manufacturing	Machinery	Wheeler Machinery Co.	medal
2015	Production & Manufacturing	Mining/Quarrying	Staker Parson Companies	medal
2015	Production & Manufacturing	Miscellaneous Manufacturing Industries	Alinco Costumes	medal
2015	Production & Manufacturing	Outdoor/Recreational Equipment	Camp Chef	medal
2015	Production & Manufacturing	Printing/Publishing	AlphaGraphics	medal
2015	Production & Manufacturing	Protein/Health Food	PROBAR	medal
2015	Production & Manufacturing	Textile Products	Del Sol	medal
2015	Production & Manufacturing	Transportation Equipment	International Armoring Corporation	medal
2015	Production & Manufacturing	Wholesale Goods	Wheeler Machinery Co.	medal
2015	Production & Manufacturing	Wood Products	Granite Mill & Fixture Co.	medal
2015	Science & Technology	Applied Science/Technology	Brilliant Integrated Technologies	medal
2015	Science & Technology	Civil Engineering	Hansen, Allen & Luce, Inc.	medal
2015	Science & Technology	Computer Related Services	Executech	medal
2015	Science & Technology	Computer and Software Providers (VARS)	PC Laptops	medal
2015	Science & Technology	Electrical Engineering	Spectrum Engineers	medal
2015	Science & Technology	Environmental Science	Aqua-Yield	medal
2015	Science & Technology	Hardware/Firmware Development	Saygus	medal
2015	Science & Technology	Interactive/Multimedia	RiSER	medal
2015	Science & Technology	Inventor	Tom Dickson, Blendtec	medal
2015	Science & Technology	Lighting Design	Bastion Technologies, LLC	medal
2015	Science & Technology	Mechanical Engineering	Colvin Engineering Associates	medal
2015	Science & Technology	Medical Innovation	American Biotech Labs	medal
2015	Science & Technology	Research and Development	USANA Health Sciences	medal
2015	Science & Technology	Software Development/Publishers	InsideSales.com	medal
2015	Science & Technology	Structural Engineering	Reaveley Engineers + Associates	medal
2015	Science & Technology	Telecommunications	Veracity Networks	medal
2015	Science & Technology	Web Design	Agency Fusion	medal
2015	Science & Technology	Web Development	Agency Fusion	medal
2015	Sports & Recreation	Athletic Camps/Training	Aces Athletics	medal
2015	Sports & Recreation	Ballroom Dance	DF Dance Studio	medal
2015	Sports & Recreation	Dance Studio	C&C Ballet Academy	medal
2015	Sports & Recreation	Fitness Camp/Retreat	One Fitness Camp	medal
2015	Sports & Recreation	Fitness Franchisee	Planet Fitness	medal
2015	Sports & Recreation	Golf Program	Hobble Creek Golf Course	medal
2015	Sports & Recreation	Gymnastics Studio	Black Diamond Gymnastics and Sports	medal
2015	Sports & Recreation	High School Coach	Geno Morgan	medal
2015	Sports & Recreation	Male Amateur Athlete	Eric Randall Johnson	medal
2015	Sports & Recreation	Martial Arts Studio	Denda Academy of Martial Arts	medal
2015	Sports & Recreation	Player Development	MVP Sports Science Institute	medal
2015	Sports & Recreation	Private Fitness/Recreation Facility	Treehouse Athletic Club	medal
2015	Sports & Recreation	Pro & Semi-pro Sports	Salt Lake Bees	medal
2015	Sports & Recreation	Public Fitness/Recreation Facility	Washington City Community Center	medal
2015	Sports & Recreation	Recreation/Sports Program	Club V Volleyball	medal
2015	Sports & Recreation	Recreational Attraction	Lagoon	medal
2015	Sports & Recreation	Recreational Coach	Kyle Aberton	medal
2015	Sports & Recreation	Social Dance Studio	DF Dance Studio	medal
2015	Sports & Recreation	Sporting Event	Huntsman World Senior Games	medal
2015	Sports & Recreation	Sports Complex	Aces Athletics	medal
2015	Sports & Recreation	Winter Recreation	Snowmobile Adventures at Thousand Peaks	medal
2016	Arts & Entertainment	A Cappella Group	Octappella	medal
2016	Arts & Entertainment	Actor	David F. Pack, Ph.D.	medal
2016	Arts & Entertainment	Carving	Brian Baity	medal
2016	Arts & Entertainment	Children's Book	Thal Dixon	medal
2016	Arts & Entertainment	Children's Choral Group	One Voice Children's Choir	medal
2016	Arts & Entertainment	Children's Performing Group	One Voice Children's Choir	medal
2016	Arts & Entertainment	Children's Theater	Utah Conservatory of Performing Arts	medal
2016	Arts & Entertainment	Choral Group	Salt Lake Choral Artists	medal
2016	Arts & Entertainment	Choreographer	Lindsay Folkman	medal
2016	Arts & Entertainment	Community Arts	Davis Arts Council	medal
2016	Arts & Entertainment	Community Music Program	Utah Conservatory of Performing Arts	medal
2016	Arts & Entertainment	Community Theater	Utah Children's Theatre	medal
2016	Arts & Entertainment	Dance Group	Odyssey Dance Theatre	medal
2016	Arts & Entertainment	Digital Art	Rachel Ann Wadsworth	medal
2016	Arts & Entertainment	Documentary	"""Inside Room 4"""	medal
2016	Arts & Entertainment	Event DJ	Life of the Party Entertainment	medal
2016	Arts & Entertainment	Fiction	H.B. Moore	medal
2016	Arts & Entertainment	Handicrafts	Brian K Baity	medal
2016	Arts & Entertainment	Individual Instrumentalist	Jason Lyle Black	medal
2016	Arts & Entertainment	Individual Vocalist	Melody Pulsipher	medal
2016	Arts & Entertainment	Instructional/Corporate Video	Issimo	medal
2016	Arts & Entertainment	Instrumental Group	Caleb Chapman's Crescent Super Band	medal
2016	Arts & Entertainment	Journalism	Chris Redgrave, Speaking on Business	medal
2016	Arts & Entertainment	Magazine	Etched Magazine	medal
2016	Arts & Entertainment	Non-fiction	Bryan Miller	medal
2016	Arts & Entertainment	Orchestra	American Heritage Lyceum Philharmonic	medal
2016	Arts & Entertainment	Original Music Composition	GENTRI	medal
2016	Arts & Entertainment	Painting - Classical	Howard Lyon	medal
2016	Arts & Entertainment	Party/Cover Band	Groove Merchants	medal
2016	Arts & Entertainment	Playwriting	Joanne M. Parker	medal
2016	Arts & Entertainment	Portrait Photography	Busath Photography	medal
2016	Arts & Entertainment	Public Art	Tremonton City	medal
2016	Arts & Entertainment	Publication	Mountain Express Magazine	medal
2016	Arts & Entertainment	Sculpture	Brian K Baity	medal
2016	Arts & Entertainment	Short Movie	Issimo	medal
2016	Arts & Entertainment	Short Story	Annette Lyon	medal
2016	Arts & Entertainment	Specialty Act	Groove Merchants	medal
2016	Arts & Entertainment	Talent Representation	Utah Live Bands	medal
